511;81
364;58
572;25
942;21
362;68
252;13
663;63
987;4
483;65
166;1
122;96
418;72
89;3
334;26
493;81
472;59
269;99
310;50
91;50
806;26
359;92
905;51
971;17
482;23
199;87
380;7
638;99
892;30
95;82
72;37
630;18
84;73
233;15
978;71
831;73
935;65
255;97
540;27
394;2
656;43
399;74
450;77
398;30
487;45
497;78
849;35
850;78
107;74
714;33
493;57
922;53
721;65
903;96
193;22
461;63
602;26
612;17
821;40
738;50
230;73
389;5
293;45
286;86
576;29
495;63
108;29
578;72
396;7
606;99
900;93
460;30
412;16
490;24
95;80
890;44
508;3
83;64
521;1
130;59
325;22
738;3
105;32
922;41
558;1
131;39
653;91
917;72
97;54
214;41
123;64
325;94
46;42
733;50
145;49
756;62
50;25
990;95
318;22
710;92
387;1
560;75
151;88
423;5
228;49
91;21
768;98
511;21
911;81
572;80
217;89
669;47
444;32
317;78
375;58
245;64
452;19
788;37
262;22
905;11
687;39
84;54
238;24
6;69
914;93
261;18
37;29
936;12
823;1
